time,u,drct,stability
2019-04-15 00:00:00,3.3436,110.0,2
2019-04-15 01:00:00,3.3435999999999995,85.0,2
2019-04-15 02:00:00,3.3436,95.0,4
2019-04-15 03:00:00,4.1152,110.0,4
2019-04-15 04:00:00,3.3436,95.0,4
2019-04-15 05:00:00,3.8579999999999997,85.0,2
2019-04-15 06:00:00,4.3724,90.0,2
2019-04-15 07:00:00,4.3724,95.0,2
2019-04-15 08:00:00,6.43,105.0,4
2019-04-15 09:00:00,7.715999999999999,100.0,4
2019-04-15 10:00:00,7.715999999999999,105.0,4
2019-04-15 11:00:00,8.2304,105.0,4
2019-04-15 12:00:00,8.7448,105.0,4
2019-04-15 13:00:00,9.001999999999999,105.0,4
2019-04-15 14:00:00,9.001999999999999,100.0,4
2019-04-15 15:00:00,8.7448,110.0,4
2019-04-15 16:00:00,8.7448,100.0,4
2019-04-15 17:00:00,9.5164,110.0,4
2019-04-15 18:00:00,7.201599999999999,115.0,4
2019-04-15 19:00:00,6.9444,110.0,4
2019-04-15 20:00:00,6.9444,105.0,4
2019-04-15 21:00:00,5.9155999999999995,110.0,4
2019-04-15 22:00:00,5.144,95.0,4
2019-04-15 23:00:00,5.144,95.0,4
2019-04-16 00:00:00,5.401199999999999,100.0,4
2019-04-16 01:00:00,5.144,100.0,4
2019-04-16 02:00:00,4.1152,75.0,4
2019-04-16 03:00:00,4.3724,65.0,4
2019-04-16 04:00:00,5.144,75.0,4
2019-04-16 05:00:00,3.8579999999999997,65.0,4
2019-04-16 06:00:00,3.8579999999999997,65.0,4
2019-04-16 07:00:00,3.8579999999999997,90.0,4
2019-04-16 08:00:00,4.1152,95.0,4
2019-04-16 09:00:00,3.8579999999999997,90.0,4
2019-04-16 10:00:00,5.401199999999999,95.0,4
2019-04-16 11:00:00,5.9155999999999995,100.0,4
2019-04-16 12:00:00,5.401199999999999,60.0,4
2019-04-16 13:00:00,5.9155999999999995,40.0,4
2019-04-16 14:00:00,5.9155999999999995,40.0,4
2019-04-16 15:00:00,6.6872,55.0,4
2019-04-16 16:00:00,7.201599999999999,60.0,4
2019-04-16 17:00:00,5.9155999999999995,55.0,4
2019-04-16 18:00:00,7.201599999999999,65.0,4
2019-04-16 19:00:00,6.1728,70.0,4
2019-04-16 20:00:00,4.8868,80.0,2
2019-04-16 21:00:00,5.401199999999999,90.0,4
2019-04-16 22:00:00,4.6296,85.0,3
2019-04-16 23:00:00,4.1152,80.0,3
2019-04-17 00:00:00,5.144,80.0,4
2019-04-17 01:00:00,4.3724,75.0,4
2019-04-17 02:00:00,3.6007999999999996,70.0,4
2019-04-17 03:00:00,3.3435999999999995,60.0,4
2019-04-17 04:00:00,4.1152,75.0,4
2019-04-17 05:00:00,4.1152,75.0,2
2019-04-17 06:00:00,3.6007999999999996,75.0,2
2019-04-17 07:00:00,3.8579999999999997,75.0,2
2019-04-17 08:00:00,4.6296,65.0,2
2019-04-17 09:00:00,5.9155999999999995,60.0,4
2019-04-17 10:00:00,6.43,45.0,4
2019-04-17 11:00:00,8.4876,55.0,4
2019-04-17 12:00:00,8.2304,60.0,4
2019-04-17 13:00:00,7.201599999999999,65.0,4
2019-04-17 14:00:00,6.9444,50.0,4
2019-04-17 15:00:00,7.458799999999999,50.0,4
2019-04-17 16:00:00,6.9444,60.0,3
2019-04-17 17:00:00,7.458799999999999,55.0,4
2019-04-17 18:00:00,5.9155999999999995,55.0,4
2019-04-17 19:00:00,5.144,55.0,4
2019-04-17 20:00:00,5.144,55.0,4
2019-04-17 21:00:00,5.401199999999999,65.0,3
2019-04-17 22:00:00,6.1728,70.0,4
2019-04-17 23:00:00,4.8868,80.0,4
2019-04-18 00:00:00,4.6296,75.0,4
2019-04-18 01:00:00,4.1152,75.0,4
2019-04-18 02:00:00,3.8579999999999997,85.0,4
2019-04-18 03:00:00,2.8292,70.0,4
2019-04-18 04:00:00,3.6007999999999996,70.0,4
2019-04-18 05:00:00,3.6007999999999996,80.0,4
2019-04-18 06:00:00,3.6007999999999996,70.0,4
2019-04-18 07:00:00,4.1152,70.0,4
2019-04-18 08:00:00,4.3724,75.0,4
2019-04-18 09:00:00,5.401199999999999,65.0,4
2019-04-18 10:00:00,5.9155999999999995,70.0,4
2019-04-18 11:00:00,5.401199999999999,50.0,4
2019-04-18 12:00:00,6.43,55.0,4
2019-04-18 13:00:00,5.9155999999999995,50.0,4
2019-04-18 14:00:00,6.687199999999999,50.0,3
2019-04-18 15:00:00,6.43,45.0,3
2019-04-18 16:00:00,6.43,40.0,3
2019-04-18 17:00:00,4.886799999999999,45.0,4
2019-04-18 18:00:00,3.3436,40.0,4
2019-04-18 19:00:00,3.6007999999999996,65.0,4
2019-04-18 20:00:00,4.6296,55.0,4
2019-04-18 21:00:00,4.6296,50.0,2
2019-04-18 22:00:00,4.8868,55.0,3
2019-04-18 23:00:00,4.8868,55.0,4
2019-04-19 00:00:00,3.3436,50.0,4
2019-04-19 01:00:00,3.3435999999999995,60.0,4
2019-04-19 02:00:00,3.0864,60.0,4
2019-04-19 03:00:00,2.572,50.0,4
2019-04-19 04:00:00,3.0864,65.0,2
2019-04-19 05:00:00,2.0576,85.0,2
2019-04-19 06:00:00,2.3148,60.0,2
2019-04-19 07:00:00,3.6007999999999996,65.0,2
2019-04-19 08:00:00,3.6007999999999996,60.0,4
2019-04-19 09:00:00,3.0864,70.0,4
2019-04-19 10:00:00,4.1152,70.0,4
2019-04-19 11:00:00,4.8868,50.0,4
2019-04-19 12:00:00,5.144,45.0,4
2019-04-19 13:00:00,4.3724,35.0,4
2019-04-19 14:00:00,3.3435999999999995,40.0,4
2019-04-19 15:00:00,3.0864,60.0,4
2019-04-19 16:00:00,2.8292,35.0,4
2019-04-19 17:00:00,2.0576,45.0,4
2019-04-19 18:00:00,1.0288,40.0,4
2019-04-19 19:00:00,0.5144,355.0,4
2019-04-19 20:00:00,0.5144,20.0,4
2019-04-19 21:00:00,1.5432,200.0,4
2019-04-19 22:00:00,1.0288,,4
2019-04-19 23:00:00,0.5144,360.0,4
2019-04-20 00:00:00,0.7716,345.0,4
2019-04-20 01:00:00,0.0,0.0,4
2019-04-20 02:00:00,0.2572,155.0,4
2019-04-20 03:00:00,0.7716,290.0,4
2019-04-20 04:00:00,0.5144,250.0,4
2019-04-20 05:00:00,0.5144,165.0,4
2019-04-20 06:00:00,0.5144,140.0,4
2019-04-20 07:00:00,1.0288,,4
2019-04-20 08:00:00,2.3148,275.0,4
2019-04-20 09:00:00,2.572,270.0,4
2019-04-20 10:00:00,2.572,350.0,5
2019-04-20 11:00:00,2.572,350.0,5
2019-04-20 12:00:00,2.8292,335.0,5
2019-04-20 13:00:00,2.572,340.0,5
2019-04-20 14:00:00,2.8292,340.0,4
2019-04-20 15:00:00,3.0864,345.0,4
2019-04-20 16:00:00,2.572,195.0,4
2019-04-20 17:00:00,2.572,55.0,4
2019-04-20 18:00:00,1.8003999999999998,50.0,4
2019-04-20 19:00:00,1.5432,250.0,4
2019-04-20 20:00:00,1.5432,200.0,4
2019-04-20 21:00:00,2.3148,210.0,4
2019-04-20 22:00:00,1.8003999999999998,240.0,4
2019-04-20 23:00:00,1.0288,255.0,4
2019-04-21 00:00:00,1.0288,340.0,4
2019-04-21 01:00:00,0.2572,170.0,4
2019-04-21 02:00:00,0.5144,270.0,4
2019-04-21 03:00:00,0.7716,200.0,4
2019-04-21 04:00:00,0.2572,50.0,4
2019-04-21 05:00:00,0.5144,,4
2019-04-21 06:00:00,1.286,300.0,4
2019-04-21 07:00:00,1.286,,4
2019-04-21 08:00:00,1.5432,260.0,4
2019-04-21 09:00:00,2.572,220.0,4
2019-04-21 10:00:00,5.6584,215.0,4
2019-04-21 11:00:00,6.6872,210.0,4
2019-04-21 12:00:00,7.4588,230.0,4
2019-04-21 13:00:00,8.2304,230.0,4
2019-04-21 14:00:00,8.4876,225.0,4
2019-04-21 15:00:00,8.2304,220.0,4
2019-04-21 16:00:00,7.715999999999999,195.0,4
2019-04-21 17:00:00,6.9444,205.0,4
2019-04-21 18:00:00,4.8868,220.0,4
2019-04-21 19:00:00,3.3435999999999995,210.0,4
2019-04-21 20:00:00,3.8579999999999997,185.0,4
2019-04-21 21:00:00,3.3435999999999995,195.0,4
2019-04-21 22:00:00,1.5432000000000001,,4
2019-04-21 23:00:00,1.286,,4
2019-04-22 00:00:00,2.3148,180.0,4
2019-04-22 01:00:00,1.286,,4
2019-04-22 02:00:00,1.0288,,4
2019-04-22 03:00:00,1.0288,,4
2019-04-22 04:00:00,0.2572,0.0,4
2019-04-22 05:00:00,0.7716,300.0,4
2019-04-22 06:00:00,0.5144,,4
2019-04-22 07:00:00,1.5432,50.0,4
2019-04-22 08:00:00,4.6296,40.0,4
2019-04-22 09:00:00,4.3724,35.0,4
2019-04-22 10:00:00,4.8868,35.0,4
2019-04-22 11:00:00,5.144,30.0,4
2019-04-22 12:00:00,5.9155999999999995,125.0,4
2019-04-22 13:00:00,6.6872,105.0,4
2019-04-22 14:00:00,6.43,110.0,4
2019-04-22 15:00:00,6.1728,105.0,4
2019-04-22 16:00:00,7.201599999999999,115.0,4
2019-04-22 17:00:00,6.43,75.0,4
2019-04-22 18:00:00,5.401199999999999,55.0,3
2019-04-22 19:00:00,4.3724,40.0,4
2019-04-22 20:00:00,4.3724,45.0,4
2019-04-22 21:00:00,4.3724,50.0,4
2019-04-22 22:00:00,4.1152,45.0,4
2019-04-22 23:00:00,5.6584,60.0,3
2019-04-23 00:00:00,5.401199999999999,60.0,3
2019-04-23 01:00:00,5.9155999999999995,70.0,4
2019-04-23 02:00:00,4.8868,65.0,4
2019-04-23 03:00:00,5.144,65.0,4
2019-04-23 04:00:00,5.144,55.0,4
2019-04-23 05:00:00,5.144,60.0,4
2019-04-23 06:00:00,4.8868,55.0,2
2019-04-23 07:00:00,6.1728,55.0,4
2019-04-23 08:00:00,6.43,50.0,4
2019-04-23 09:00:00,6.9444,50.0,4
2019-04-23 10:00:00,6.1728,50.0,4
2019-04-23 11:00:00,6.9444,50.0,3
2019-04-23 12:00:00,7.715999999999999,50.0,3
2019-04-23 13:00:00,10.5452,55.0,3
2019-04-23 14:00:00,8.2304,45.0,4
2019-04-23 15:00:00,7.973199999999999,45.0,4
2019-04-23 16:00:00,8.2304,50.0,4
2019-04-23 17:00:00,7.458799999999999,45.0,4
2019-04-23 18:00:00,8.2304,55.0,4
2019-04-23 19:00:00,6.1728,60.0,4
2019-04-23 20:00:00,6.9444,70.0,4
2019-04-23 21:00:00,6.6872,70.0,3
2019-04-23 22:00:00,6.687199999999999,60.0,4
2019-04-23 23:00:00,5.6584,70.0,3
2019-04-24 00:00:00,6.1728,65.0,4
2019-04-24 01:00:00,5.144,60.0,4
2019-04-24 02:00:00,5.401199999999999,60.0,4
2019-04-24 03:00:00,5.401199999999999,65.0,4
2019-04-24 04:00:00,4.6296,60.0,4
2019-04-24 05:00:00,5.9155999999999995,60.0,4
2019-04-24 06:00:00,5.144,65.0,4
2019-04-24 07:00:00,6.9444,60.0,4
2019-04-24 08:00:00,6.9444,60.0,4
2019-04-24 09:00:00,7.201599999999999,60.0,4
2019-04-24 10:00:00,8.7448,55.0,4
2019-04-24 11:00:00,8.2304,55.0,4
2019-04-24 12:00:00,9.5164,45.0,4
2019-04-24 13:00:00,9.2592,50.0,3
2019-04-24 14:00:00,8.7448,50.0,4
2019-04-24 15:00:00,7.715999999999999,50.0,4
2019-04-24 16:00:00,8.2304,60.0,4
2019-04-24 17:00:00,6.9444,60.0,4
2019-04-24 18:00:00,6.43,60.0,4
2019-04-24 19:00:00,6.1728,55.0,4
2019-04-24 20:00:00,5.9155999999999995,60.0,4
2019-04-24 21:00:00,6.1728,60.0,4
2019-04-24 22:00:00,5.6584,75.0,4
2019-04-24 23:00:00,3.3436,75.0,4
2019-04-25 00:00:00,2.572,65.0,5
2019-04-25 01:00:00,1.0288,35.0,5
2019-04-25 02:00:00,1.5432,,5
2019-04-25 03:00:00,2.0576,80.0,5
2019-04-25 04:00:00,1.5432,70.0,5
2019-04-25 05:00:00,1.8003999999999998,90.0,1
2019-04-25 06:00:00,1.0288,,1
2019-04-25 07:00:00,2.572,80.0,4
2019-04-25 08:00:00,2.8292,85.0,2
2019-04-25 09:00:00,4.6296,55.0,2
2019-04-25 10:00:00,5.6584,45.0,4
2019-04-25 11:00:00,6.43,60.0,4
2019-04-25 12:00:00,5.658399999999999,85.0,4
2019-04-25 13:00:00,7.458799999999999,130.0,4
2019-04-25 14:00:00,6.1728,120.0,4
2019-04-25 15:00:00,5.401199999999999,110.0,4
2019-04-25 16:00:00,4.6296,65.0,3
2019-04-25 17:00:00,4.6296,50.0,4
2019-04-25 18:00:00,3.6007999999999996,50.0,2
2019-04-25 19:00:00,1.5432,,1
2019-04-25 20:00:00,1.5432,50.0,2
2019-04-25 21:00:00,1.5432,40.0,2
2019-04-25 22:00:00,2.0576,110.0,4
2019-04-25 23:00:00,1.286,,4
2019-04-26 00:00:00,2.0576,100.0,4
2019-04-26 01:00:00,2.572,140.0,4
2019-04-26 02:00:00,1.5432,160.0,4
2019-04-26 03:00:00,3.0864,130.0,3
2019-04-26 04:00:00,2.3148,90.0,2
2019-04-26 05:00:00,3.3435999999999995,125.0,2
2019-04-26 06:00:00,5.144,165.0,4
2019-04-26 07:00:00,3.3436,160.0,2
2019-04-26 08:00:00,3.6007999999999996,170.0,2
2019-04-26 09:00:00,4.1152,175.0,2
2019-04-26 10:00:00,5.6584,170.0,4
2019-04-26 11:00:00,5.401199999999999,160.0,4
2019-04-26 12:00:00,5.658399999999999,170.0,4
2019-04-26 13:00:00,6.43,165.0,4
2019-04-26 14:00:00,6.43,165.0,4
2019-04-26 15:00:00,6.43,175.0,4
2019-04-26 16:00:00,6.9444,195.0,4
2019-04-26 17:00:00,6.9444,200.0,4
2019-04-26 18:00:00,4.3724,185.0,2
2019-04-26 19:00:00,6.1728,185.0,4
2019-04-26 20:00:00,5.401199999999999,185.0,4
2019-04-26 21:00:00,3.3435999999999995,105.0,2
2019-04-26 22:00:00,3.0864,80.0,2
2019-04-26 23:00:00,2.8291999999999997,105.0,2
2019-04-27 00:00:00,3.8579999999999997,85.0,3
2019-04-27 01:00:00,3.8579999999999997,80.0,3
2019-04-27 02:00:00,3.6007999999999996,60.0,2
2019-04-27 03:00:00,2.8291999999999997,50.0,5
2019-04-27 04:00:00,2.572,50.0,5
2019-04-27 05:00:00,2.0576,65.0,2
2019-04-27 06:00:00,1.5432,,1
2019-04-27 07:00:00,2.0576,35.0,2
2019-04-27 08:00:00,1.8003999999999998,10.0,2
2019-04-27 09:00:00,1.5432,,1
2019-04-27 10:00:00,1.8003999999999998,10.0,2
2019-04-27 11:00:00,1.8004,40.0,2
2019-04-27 12:00:00,3.3435999999999995,355.0,2
2019-04-27 13:00:00,3.6007999999999996,330.0,2
2019-04-27 14:00:00,3.0864,320.0,2
2019-04-27 15:00:00,3.0864,305.0,2
2019-04-27 16:00:00,2.572,260.0,5
2019-04-27 17:00:00,1.286,240.0,1
2019-04-27 18:00:00,1.286,140.0,2
2019-04-27 19:00:00,0.7716,80.0,2
2019-04-27 20:00:00,1.0288,80.0,2
2019-04-27 21:00:00,0.5144,290.0,4
2019-04-27 22:00:00,1.0288,260.0,4
2019-04-27 23:00:00,1.286,250.0,1
2019-04-28 00:00:00,0.5144,125.0,3
2019-04-28 01:00:00,,,4
2019-04-28 02:00:00,0.7716,,4
2019-04-28 03:00:00,0.0,0.0,4
2019-04-28 04:00:00,1.0288,145.0,5
2019-04-28 05:00:00,1.286,100.0,5
2019-04-28 06:00:00,1.286,,2
2019-04-28 07:00:00,1.286,,1
2019-04-28 08:00:00,3.0864,75.0,2
2019-04-28 09:00:00,3.6007999999999996,75.0,2
2019-04-28 10:00:00,3.3435999999999995,70.0,2
2019-04-28 11:00:00,3.0864,40.0,2
2019-04-28 12:00:00,3.6007999999999996,50.0,2
2019-04-28 13:00:00,4.3724,40.0,2
2019-04-28 14:00:00,4.6296,40.0,2
2019-04-28 15:00:00,4.3724,40.0,2
2019-04-28 16:00:00,4.3724,45.0,2
2019-04-28 17:00:00,3.8579999999999997,55.0,2
2019-04-28 18:00:00,3.6007999999999996,45.0,2
2019-04-28 19:00:00,2.8292,50.0,2
2019-04-28 20:00:00,2.8292,40.0,2
2019-04-28 21:00:00,1.5432,40.0,1
2019-04-28 22:00:00,1.286,255.0,2
2019-04-28 23:00:00,0.7716,255.0,1
